"test_id","actual_rejected","actual_category","risk_score","actual_severity","actual_policy","actual_approval","overall_pass"
"HARDEN-MISSING-001","True",,,,,,"True"
"HARDEN-TIME-001","True",,,,,,"True"
"HARDEN-NOIOC-001","False","suspicious_authentication","31","medium","allow","False","True"
"HARDEN-MULTIIOC-001","False","malware_malicious_file","69","high","review","True","True"
"HARDEN-PI-001","False","phishing_malicious_url","50","high","review","True","True"
"HARDEN-POLICY-001","False","malware_malicious_file","75","critical","review","True","True"
"HARDEN-UNKNOWN-001","False","other_unknown","1","low","allow","False","True"
"HARDEN-SLACK-001","False","malicious_network_activity","75","critical","review","True","True"
